service_id,date,holiday_name,exception_type
3772A2500,20170904,Labor Day,2
3772A2500,20161225,Christmas Day,2
198A2500,20160905,Labor Day,2
450A6050,20161225,Christmas Day,2
198A2500,20170704,Independence Day,2
198A2500,20151225,Christmas Day,2
1562A6050,20170101,New Years Day,2
452A6050,20170101,New Years Day,2
873A6050,20161225,Christmas Day,2
5261A6258,20170529,Memorial Day,2
5259A6256,20171225,Christmas Day,2
5261A6258,20170904,Labor Day,2
448A2500,20170101,New Years Day,2
3772A2500,20171123,Thanksgiving Day,2
450A6050,20170101,New Years Day,2
448A2500,20171123,Thanksgiving Day,2
5262A6258,20170704,Independence Day,2
198A2500,20161124,Thanksgiving Day,2
3772A2500,20170101,New Years Day,2
5261A6258,20161225,Christmas Day,2
198A2500,20160704,Independence Day,2
873A6050,20170101,New Years Day,2
452A6050,20161225,Christmas Day,2
448A2500,20170529,Memorial Day,2
3772A2500,20180101,New Years Day,2
1562A6050,20161225,Christmas Day,2
448A2500,20161125,Day after Thanksgiving,2
448A2500,20160101,New Years Day,2
3772A2500,20160101,New Years Day,2
5260A6256,20171225,Christmas Day,2
3772A2500,20161125,Day after Thanksgiving,2
198A2500,20160530,Memorial Day,2
3772A2500,20170529,Memorial Day,2
448A2500,20180101,New Years Day,2
5262A6258,20170529,Memorial Day,2
448A2500,20151225,Christmas Day,2
5262A6258,20170101,New Years Day,2
198A2500,20161225,Christmas Day,2
448A2500,20171225,Christmas Day,2
3772A2500,20170704,Independence Day,2
3772A2500,20160905,Labor Day,2
5260A6256,20180101,New Years Day,2
1561A6050,20170101,New Years Day,2
448A2500,20160905,Labor Day,2
5262A6258,20171123,Thanksgiving Day,2
448A2500,20170704,Independence Day,2
3772A2500,20171225,Christmas Day,2
198A2500,20170904,Labor Day,2
198A2500,20161125,Day after Thanksgiving,2
3772A2500,20160530,Memorial Day,2
198A2500,20160101,New Years Day,2
198A2500,20170529,Memorial Day,2
198A2500,20180101,New Years Day,2
448A2500,20160530,Memorial Day,2
3772A2500,20161124,Thanksgiving Day,2
5261A6258,20170704,Independence Day,2
5259A6256,20180101,New Years Day,2
198A2500,20170101,New Years Day,2
5262A6258,20161225,Christmas Day,2
3772A2500,20160704,Independence Day,2
448A2500,20160704,Independence Day,2
5262A6258,20170904,Labor Day,2
198A2500,20171123,Thanksgiving Day,2
1561A6050,20161225,Christmas Day,2
448A2500,20161124,Thanksgiving Day,2
5261A6258,20171123,Thanksgiving Day,2
448A2500,20161225,Christmas Day,2
198A2500,20171225,Christmas Day,2
448A2500,20170904,Labor Day,2
5261A6258,20170101,New Years Day,2
