trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
4256A5497B6587,10:42:00,10:42:00,10087,1,,0,0,0
4256A5497B6587,11:12:00,11:12:00,16173,2,,0,0,17.06615804
17323A5497B6587,14:37:00,14:37:00,16173,1,,0,0,0
17323A5497B6587,15:07:00,15:07:00,10087,2,,0,0,17.1205022
42135A198B2500,07:35:00,07:35:00,2328339,1,,0,0,0
42135A198B2500,07:46:00,07:46:00,10083,2,,0,0,4.9369117
42135A198B2500,07:52:00,07:52:00,10084,3,,0,0,9.26299881
654591A5498B6588,15:25:00,15:25:00,12486,1,,0,0,0
654591A5498B6588,15:28:00,15:28:00,2328343,2,,0,0,0.65486176
654591A5498B6588,15:53:00,15:53:00,16173,3,,0,0,19.14686095
45866A452B6050,16:30:00,16:30:00,21040,1,,0,0,0
45866A452B6050,17:00:00,17:05:00,759429,2,,0,0,21.35298459
45866A452B6050,17:15:00,17:15:00,20944,3,,0,0,23.41760314
17326A5497B6587,08:42:00,08:42:00,16173,1,,0,0,0
17326A5497B6587,09:12:00,09:12:00,10087,2,,0,0,17.1205022
45864A452B6050,11:15:00,11:15:00,759429,1,,0,0,0
45864A452B6050,11:50:00,11:50:00,21040,2,,0,0,21.20358565
31885A5497B6587,07:40:00,07:40:00,10087,1,,0,0,0
31885A5497B6587,08:20:00,08:20:00,10089,2,,0,0,27.05265349
31894A5497B6587,08:37:00,08:37:00,16173,1,,0,0,0
31894A5497B6587,09:12:00,09:12:00,10084,2,,0,0,26.55284342
654560A5498B6588,16:12:00,16:12:00,16173,1,,0,0,0
654560A5498B6588,16:21:00,16:21:00,12141,2,,0,0,6.40331356
654560A5498B6588,16:38:00,16:38:00,2328339,3,,0,0,18.93459828
654560A5498B6588,16:46:00,16:46:00,10083,4,,0,0,23.87150998
654560A5498B6588,16:53:00,16:53:00,10084,5,,0,0,28.19759709
31907A5497B6587,16:02:00,16:02:00,16173,1,,0,0,0
31907A5497B6587,16:15:00,16:15:00,10086,2,,0,0,8.82950895
31907A5497B6587,16:33:00,16:33:00,12486,3,,0,0,19.67391839
31907A5497B6587,16:42:00,16:42:00,10085,4,,0,0,20.81112242
17327A5497B6587,13:22:00,13:22:00,16173,1,,0,0,0
17327A5497B6587,13:52:00,13:52:00,10087,2,,0,0,17.1205022
17329A5497B6587,17:22:00,17:22:00,16173,1,,0,0,0
17329A5497B6587,17:52:00,17:52:00,10087,2,,0,0,17.1205022
654574A5498B6588,7:22:00,7:22:00,16173,1,,0,0,0
654574A5498B6588,7:44:00,7:44:00,2328340,2,,0,0,13.87681814
654574A5498B6588,7:54:00,7:54:00,20944,3,,0,0,17.11097123
45869A452B6050,15:30:00,15:30:00,21040,1,,0,0,0
45869A452B6050,16:00:00,16:00:00,759429,2,,0,0,21.35298459
31892A5497B6587,17:22:00,17:22:00,16173,1,,0,0,0
31892A5497B6587,17:30:00,17:30:00,12141,2,,0,0,6.40331356
31892A5497B6587,17:57:00,17:57:00,10084,3,,0,0,26.79333252
654570A5498B6588,17:50:00,17:50:00,16173,1,,0,0,0
654570A5498B6588,18:12:00,18:12:00,2328340,2,,0,0,13.87681814
654570A5498B6588,18:22:00,18:22:00,20944,3,,0,0,17.11097123
654575A5498B6588,06:37:00,06:37:00,20944,1,,0,0,0
654575A5498B6588,06:49:00,06:49:00,2328341,2,,0,0,3.67621855
654575A5498B6588,07:12:00,07:12:00,16173,3,,0,0,17.58819607
17336A5497B6587,18:02:00,18:02:00,10087,1,,0,0,0
17336A5497B6587,18:32:00,18:32:00,16173,2,,0,0,17.06615804
654589A5498B6588,06:42:00,06:42:00,12486,1,,0,0,0
654589A5498B6588,06:45:00,06:45:00,2328343,2,,0,0,0.65486176
654589A5498B6588,06:58:00,06:58:00,10086,3,,0,0,10.82692341
654589A5498B6588,07:11:00,07:11:00,16173,4,,0,0,19.38187258
654780A5498B6588,07:56:00,07:56:00,20944,1,,0,0,0
654780A5498B6588,08:04:00,08:04:00,21004,2,,0,0,2.70592517
654780A5498B6588,08:39:00,08:39:00,2328349,3,,0,0,29.57578157
31909A5497B6587,06:36:00,06:36:00,12486,1,,0,0,0
31909A5497B6587,06:50:00,06:50:00,10085,2,,0,0,1.13720403
31909A5497B6587,07:01:00,07:01:00,10086,3,,0,0,11.02370796
31909A5497B6587,07:15:00,07:15:00,16173,4,,0,0,19.58092543
654578A5498B6588,8:04:00,8:04:00,20944,1,,0,0,0
654578A5498B6588,8:16:00,8:16:00,2328341,2,,0,0,3.67621855
654578A5498B6588,8:39:00,8:39:00,16173,3,,0,0,17.58819607
31899A5497B6587,16:42:00,16:42:00,10084,1,,0,0,0
31899A5497B6587,17:17:00,17:17:00,16173,2,,0,0,26.18749035
654586A5498B6588,14:45:00,14:45:00,16173,1,,0,0,0
654586A5498B6588,14:58:00,14:58:00,10086,2,,0,0,8.82950895
654586A5498B6588,15:11:00,15:11:00,2328342,3,,0,0,18.8523086
654586A5498B6588,15:15:00,15:15:00,12486,4,,0,0,19.7388705
31903A5497B6587,14:42:00,14:42:00,16173,1,,0,0,0
31903A5497B6587,14:55:00,14:55:00,10086,2,,0,0,8.82950895
31903A5497B6587,15:13:00,15:13:00,12486,3,,0,0,19.67391839
31903A5497B6587,15:22:00,15:22:00,10085,4,,0,0,20.81112242
31903A5497B6587,15:37:00,15:37:00,12543,5,,2,2,25.88354387
31903A5497B6587,15:42:00,15:42:00,12481,6,,2,2,32.03623481
654581A5498B6588,19:52:00,19:52:00,20944,1,,0,0,0
654581A5498B6588,20:04:00,20:04:00,2328341,2,,0,0,3.67621855
654581A5498B6588,20:27:00,20:27:00,16173,3,,0,0,17.58819607
654590A5498B6588,8:01:00,8:01:00,12486,1,,0,0,0
654590A5498B6588,8:04:00,8:04:00,2328343,2,,0,0,0.65486176
654590A5498B6588,8:17:00,8:17:00,10086,3,,0,0,10.82692341
654590A5498B6588,8:30:00,8:30:00,16173,4,,0,0,19.38187258
654584A5498B6588,06:03:00,06:03:00,16173,1,,0,0,0
654584A5498B6588,06:28:00,06:28:00,2328342,2,,0,0,18.53045492
654584A5498B6588,06:32:00,06:32:00,12486,3,,0,0,19.41701682
17330A5497B6587,15:17:00,15:17:00,10087,1,,0,0,0
17330A5497B6587,15:47:00,15:47:00,16173,2,,0,0,17.06615804
146266A5497B6587,14:32:00,14:37:00,16173,1,Sisters,0,0,0
146266A5497B6587,15:05:00,15:08:00,12138,2,Redmond,0,0,20.37667911
146266A5497B6587,15:13:00,15:16:00,10088,3,Redmond,0,0,21.64650367
146266A5497B6587,15:45:00,15:45:00,16173,4,Redmond,0,0,41.13811828
31911A5497B6587,15:18:00,15:18:00,12486,1,,0,0,0
31911A5497B6587,15:27:00,15:27:00,10085,2,,0,0,1.13720403
31911A5497B6587,15:40:00,15:40:00,16173,3,,0,0,19.35657593
58444A452B6050,15:00:00,15:00:00,759429,1,,0,0,0
58444A452B6050,15:55:00,15:55:00,21040,2,,0,0,21.20358565
654569A5498B6588,14:23:00,14:23:00,16173,1,,0,0,0
654569A5498B6588,14:45:00,14:45:00,2328340,2,,0,0,13.87681814
654569A5498B6588,14:55:00,14:55:00,20944,3,,0,0,17.11097123
45868A452B6050,14:00:00,14:00:00,21040,1,,0,0,0
45868A452B6050,14:30:00,14:30:00,759429,2,,0,0,21.35298459
31893A5497B6587,18:42:00,18:42:00,16173,1,,0,0,0
31893A5497B6587,18:50:00,18:50:00,12141,2,,0,0,6.40331356
31893A5497B6587,19:17:00,19:17:00,10084,3,,0,0,26.79333252
146264A5497B6587,05:57:00,06:02:00,16173,1,Sisters,0,0,0
146264A5497B6587,06:27:00,06:32:00,12138,2,Sisters,0,0,20.37667911
146264A5497B6587,06:37:00,06:42:00,10088,3,Redmond,0,0,21.64650367
146264A5497B6587,07:12:00,07:12:00,16173,4,Redmond,0,0,41.13811828
654572A5498B6588,19:10:00,19:10:00,16173,1,,0,0,0
654572A5498B6588,19:32:00,19:32:00,2328340,2,,0,0,13.87681814
654572A5498B6588,19:42:00,19:42:00,20944,3,,0,0,17.11097123
17298A198B2500,15:17:00,15:17:00,10084,1,,0,0,0
17298A198B2500,15:23:00,15:23:00,10083,2,,0,0,4.67313307
17298A198B2500,15:34:00,15:34:00,2328339,3,,0,0,9.55331242
654558A5498B6588,14:30:00,14:30:00,16173,1,,0,0,0
654558A5498B6588,14:39:00,14:39:00,12141,2,,0,0,6.40331356
654558A5498B6588,14:56:00,14:56:00,2328339,3,,0,0,18.93459828
654558A5498B6588,15:04:00,15:04:00,10083,4,,0,0,23.87150998
654558A5498B6588,15:11:00,15:11:00,10084,5,,0,0,28.19759709
94038A1561B6050,10:30:00,10:30:00,21040,1,,0,0,0
94038A1561B6050,10:55:00,10:55:00,772519,2,,0,0,8.82676448
94038A1561B6050,11:15:00,11:15:00,759429,3,,0,0,21.76554119
654776A5498B6588,06:47:00,06:47:00,2328349,1,,0,0,0
654776A5498B6588,06:54:00,07:04:00,10089,2,,0,0,2.95099353
654776A5498B6588,07:31:00,07:31:00,28538,3,,0,0,25.3587365
654776A5498B6588,07:38:00,07:38:00,820720,4,,0,0,28.09394282
654776A5498B6588,07:46:00,07:46:00,20944,5,,0,0,30.84792899
654779A5498B6588,15:30:00,15:30:00,20944,1,,0,0,0
654779A5498B6588,15:38:00,15:38:00,21004,2,,0,0,2.70592517
654779A5498B6588,15:45:00,15:45:00,28538,3,,0,0,5.37465497
654779A5498B6588,16:12:00,16:22:00,10089,4,,0,0,27.94892334
654779A5498B6588,16:29:00,16:29:00,2328349,5,,0,0,30.7646946
654577A5498B6588,9:36:00,9:36:00,20944,1,,0,0,0
654577A5498B6588,9:48:00,9:48:00,2328341,2,,0,0,3.67621855
654577A5498B6588,10:11:00,10:11:00,16173,3,,0,0,17.58819607
654775A5498B6588,17:10:00,17:10:00,20944,1,Sisters,0,0,0
654775A5498B6588,17:38:00,17:38:00,2328347,2,Sisters,0,0,21.69054881
654775A5498B6588,17:40:00,17:40:00,2328348,3,Sisters,0,0,22.05903422
654775A5498B6588,17:43:00,17:43:00,12138,4,Bend,0,0,22.97086364
654775A5498B6588,18:17:00,18:17:00,20944,5,Bend,0,0,45.620406
31913A5497B6587,07:02:00,07:02:00,12481,1,,2,2,0
31913A5497B6587,07:07:00,07:07:00,12543,2,,2,2,6.15269094
31913A5497B6587,07:56:00,07:56:00,12486,3,,0,0,10.5063345
31913A5497B6587,08:05:00,08:05:00,10085,4,,0,0,11.64353853
31913A5497B6587,08:16:00,08:16:00,10086,5,,0,0,21.53004245
31913A5497B6587,08:30:00,08:30:00,16173,6,,0,0,30.08725993
31905A5497B6587,08:37:00,08:37:00,16173,1,,0,0,0
31905A5497B6587,09:06:00,09:06:00,12486,2,,0,0,19.34335724
31905A5497B6587,09:15:00,09:15:00,10085,3,,0,0,20.48056128
45861A1562B6050,07:25:00,07:25:00,20944,1,,0,0,0
45861A1562B6050,07:35:00,07:45:00,759429,2,,0,0,2.25724656
45861A1562B6050,08:25:00,08:25:00,21040,3,,0,0,23.46095018
654772A5498B6588,14:40:00,14:40:00,16173,1,Sisters,0,0,0
654772A5498B6588,15:00:00,15:00:00,812004,2,Sisters,0,0,14.54143847
654772A5498B6588,15:07:00,15:07:00,2328347,3,Sisters,0,0,19.37883465
654772A5498B6588,15:09:00,15:09:00,2328348,4,Sisters,0,0,19.74732007
654772A5498B6588,15:12:00,15:12:00,12138,5,Redmond,0,0,20.65914949
654772A5498B6588,15:23:00,15:23:00,812004,6,Redmond,0,0,26.54964744
654772A5498B6588,15:43:00,15:43:00,16173,7,Redmond,0,0,41.26470119
654781A5498B6588,17:22:00,17:22:00,20944,1,,0,0,0
654781A5498B6588,17:30:00,17:30:00,21004,2,,0,0,2.70592517
654781A5498B6588,17:37:00,17:37:00,28538,3,,0,0,5.37465497
654781A5498B6588,18:04:00,18:14:00,10089,4,,0,0,27.94892334
654781A5498B6588,18:21:00,18:21:00,2328349,5,,0,0,30.7646946
654773A5498B6588,06:40:00,06:40:00,20944,1,Sisters,0,0,0
654773A5498B6588,07:08:00,07:08:00,2328347,2,Sisters,0,0,21.69054881
654773A5498B6588,07:10:00,07:10:00,2328348,3,Sisters,0,0,22.05903422
654773A5498B6588,07:13:00,07:13:00,12138,4,Bend,0,0,22.97086364
654773A5498B6588,07:47:00,07:47:00,20944,5,Bend,0,0,45.620406
654573A5498B6588,10:21:00,10:21:00,16173,1,,0,0,0
654573A5498B6588,10:43:00,10:43:00,2328340,2,,0,0,13.87681814
