route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed
292,5497A6587,4256A5497B6587,,Redmond,1,,0,1
292,5497A6587,17323A5497B6587,,Bend,0,,1,1
524,198A2500,42135A198B2500,,Madras,1,,2,0
291,5498A6588,654591A5498B6588,,Redmond,1,,3,1
739,452A6050,45866A452B6050,,Bend,1,,4,0
292,5497A6587,17326A5497B6587,,Bend,0,,1,1
739,452A6050,45864A452B6050,,Mt. Bachelor,0,,5,0
293,5497A6587,31885A5497B6587,,LaPine,0,,6,1
290,5497A6587,31894A5497B6587,,Madras,1,,7,1
290,5498A6588,654560A5498B6588,,Madras,1,,8,1
291,5497A6587,31907A5497B6587,,Prineville,0,,9,1
292,5497A6587,17327A5497B6587,,Bend,0,,1,1
292,5497A6587,17329A5497B6587,,Bend,0,,1,1
292,5498A6588,654574A5498B6588,,Bend,0,,10,1
739,452A6050,45869A452B6050,,Bend,1,,11,0
290,5497A6587,31892A5497B6587,,Madras,1,,12,1
292,5498A6588,654570A5498B6588,,Bend,0,,10,1
292,5498A6588,654575A5498B6588,,Redmond,1,,13,1
292,5497A6587,17336A5497B6587,,Redmond,1,,14,1
291,5498A6588,654589A5498B6588,,Redmond,1,,15,1
293,5498A6588,654780A5498B6588,,LaPine,0,,16,1
291,5497A6587,31909A5497B6587,,Redmond,1,,17,1
292,5498A6588,654578A5498B6588,,Redmond,1,,13,1
290,5497A6587,31899A5497B6587,,Redmond,0,,18,1
291,5498A6588,654586A5498B6588,,Prineville,0,,19,1
291,5497A6587,31903A5497B6587,,Prineville,0,,20,1
292,5498A6588,654581A5498B6588,,Redmond,1,,13,1
291,5498A6588,654590A5498B6588,,Redmond,1,,15,1
291,5498A6588,654584A5498B6588,,Prineville,0,,21,1
292,5497A6587,17330A5497B6587,,Redmond,1,,14,1
382,5497A6587,146266A5497B6587,,,0,,22,0
291,5497A6587,31911A5497B6587,,Redmond,1,,23,1
739,452A6050,58444A452B6050,,Mt. Bachelor,0,,5,0
292,5498A6588,654569A5498B6588,,Bend,0,,10,1
739,452A6050,45868A452B6050,,Bend,1,,11,0
290,5497A6587,31893A5497B6587,,Madras,1,,12,1
382,5497A6587,146264A5497B6587,,,0,,22,0
292,5498A6588,654572A5498B6588,,Bend,0,,10,1
