Id	Id2	Geography	Id3	Estimate; Total:	Estimate; Owner occupied:	Estimate; Owner occupied: - 1-person household	Estimate; Owner occupied: - 2-person household	Estimate; Owner occupied: - 3-person household	Estimate; Owner occupied: - 4-person household	Estimate; Owner occupied: - 5-person household	Estimate; Owner occupied: - 6-person household	Estimate; Owner occupied: - 7-or-more person household	Estimate; Renter occupied:	Estimate; Renter occupied: - 1-person household	Estimate; Renter occupied: - 2-person household	Estimate; Renter occupied: - 3-person household	Estimate; Renter occupied: - 4-person household	Estimate; Renter occupied: - 5-person household	Estimate; Renter occupied: - 6-person household	Estimate; Renter occupied: - 7-or-more person household	Households
1500000US410170001001	410170001001	Block Group 1, Census Tract 1, Deschutes County, Oregon	01001	740	687	78	406	107	67	20	9	0	53	0	23	0	30	0	0	0	
1500000US410170002001	410170002001	Block Group 1, Census Tract 2, Deschutes County, Oregon	02001	682	537	86	373	48	30	0	0	0	145	34	39	12	60	0	0	0	
1500000US410170002002	410170002002	Block Group 2, Census Tract 2, Deschutes County, Oregon	02002	440	310	76	194	0	17	23	0	0	130	80	24	15	11	0	0	0	
1500000US410170002003	410170002003	Block Group 3, Census Tract 2, Deschutes County, Oregon	02003	426	219	68	120	16	5	5	5	0	207	51	86	19	51	0	0	0	
1500000US410170002004	410170002004	Block Group 4, Census Tract 2, Deschutes County, Oregon	02004	379	279	86	153	17	23	0	0	0	100	35	45	20	0	0	0	0	
1500000US410170003001	410170003001	Block Group 1, Census Tract 3, Deschutes County, Oregon	03001	1469	1050	166	618	126	73	31	17	19	419	92	139	150	28	10	0	0	
1500000US410170003002	410170003002	Block Group 2, Census Tract 3, Deschutes County, Oregon	03002	954	624	153	244	128	20	64	15	0	330	45	206	0	36	43	0	0	
1500000US410170003003	410170003003	Block Group 3, Census Tract 3, Deschutes County, Oregon	03003	460	377	28	276	60	13	0	0	0	83	66	17	0	0	0	0	0	
1500000US410170003004	410170003004	Block Group 4, Census Tract 3, Deschutes County, Oregon	03004	740	642	49	478	115	0	0	0	0	98	39	21	38	0	0	0	0	
1500000US410170004011	410170004011	Block Group 1, Census Tract 4.01, Deschutes County, Oregon	04011	1061	756	96	289	187	135	25	24	0	305	75	172	46	0	12	0	0	
1500000US410170004012	410170004012	Block Group 2, Census Tract 4.01, Deschutes County, Oregon	04012	872	671	62	416	101	10	52	9	21	201	72	38	18	24	36	13	0	
1500000US410170004021	410170004021	Block Group 1, Census Tract 4.02, Deschutes County, Oregon	04021	663	490	85	254	63	48	22	18	0	173	19	111	10	33	0	0	0	
1500000US410170004022	410170004022	Block Group 2, Census Tract 4.02, Deschutes County, Oregon	04022	404	335	120	189	0	26	0	0	0	69	41	28	0	0	0	0	0	
1500000US410170004023	410170004023	Block Group 3, Census Tract 4.02, Deschutes County, Oregon	04023	53	36	14	22	0	0	0	0	0	17	0	0	17	0	0	0	0	
1500000US410170005001	410170005001	Block Group 1, Census Tract 5, Deschutes County, Oregon	05001	668	470	91	240	97	39	0	3	0	198	15	68	51	41	11	12	0	
1500000US410170005002	410170005002	Block Group 2, Census Tract 5, Deschutes County, Oregon	05002	146	146	57	89	0	0	0	0	0	0	0	0	0	0	0	0	0	
1500000US410170005003	410170005003	Block Group 3, Census Tract 5, Deschutes County, Oregon	05003	167	124	18	98	4	0	4	0	0	43	26	13	4	0	0	0	0	
1500000US410170005004	410170005004	Block Group 4, Census Tract 5, Deschutes County, Oregon	05004	834	396	97	176	44	39	32	8	0	438	109	161	31	96	25	0	16	
1500000US410170005005	410170005005	Block Group 5, Census Tract 5, Deschutes County, Oregon	05005	506	487	44	313	32	94	0	0	4	19	0	19	0	0	0	0	0	
1500000US410170006001	410170006001	Block Group 1, Census Tract 6, Deschutes County, Oregon	06001	1411	1176	261	711	81	90	18	0	15	235	70	59	32	0	61	13	0	
1500000US410170006002	410170006002	Block Group 2, Census Tract 6, Deschutes County, Oregon	06002	523	350	60	234	14	28	0	14	0	173	130	0	0	43	0	0	0	
1500000US410170006003	410170006003	Block Group 3, Census Tract 6, Deschutes County, Oregon	06003	551	483	131	247	77	28	0	0	0	68	56	0	12	0	0	0	0	
1500000US410170006004	410170006004	Block Group 4, Census Tract 6, Deschutes County, Oregon	06004	516	431	60	320	0	31	20	0	0	85	61	0	11	0	13	0	0	
1500000US410170007001	410170007001	Block Group 1, Census Tract 7, Deschutes County, Oregon	07001	568	481	66	265	48	68	21	0	13	87	14	35	0	38	0	0	0	
1500000US410170007002	410170007002	Block Group 2, Census Tract 7, Deschutes County, Oregon	07002	1325	812	224	307	122	90	31	26	12	513	70	133	175	38	65	0	32	
1500000US410170007003	410170007003	Block Group 3, Census Tract 7, Deschutes County, Oregon	07003	370	333	59	143	69	32	30	0	0	37	0	12	0	0	25	0	0	
