GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied:,Margin of Error; Owner occupied:,Estimate; Owner occupied: - No vehicle available,Margin of Error; Owner occupied: - No vehicle available,Estimate; Owner occupied: - 1 vehicle available,Margin of Error; Owner occupied: - 1 vehicle available,Estimate; Owner occupied: - 2 vehicles available,Margin of Error; Owner occupied: - 2 vehicles available,Estimate; Owner occupied: - 3 vehicles available,Margin of Error; Owner occupied: - 3 vehicles available,Estimate; Owner occupied: - 4 vehicles available,Margin of Error; Owner occupied: - 4 vehicles available,Estimate; Owner occupied: - 5 or more vehicles available,Margin of Error; Owner occupied: - 5 or more vehicles available,Estimate; Renter occupied:,Margin of Error; Renter occupied:,Estimate; Renter occupied: - No vehicle available,Margin of Error; Renter occupied: - No vehicle available,Estimate; Renter occupied: - 1 vehicle available,Margin of Error; Renter occupied: - 1 vehicle available,Estimate; Renter occupied: - 2 vehicles available,Margin of Error; Renter occupied: - 2 vehicles available,Estimate; Renter occupied: - 3 vehicles available,Margin of Error; Renter occupied: - 3 vehicles available,Estimate; Renter occupied: - 4 vehicles available,Margin of Error; Renter occupied: - 4 vehicles available,Estimate; Renter occupied: - 5 or more vehicles available,Margin of Error; Renter occupied: - 5 or more vehicles available
1500000US410170001001,410170001001,"Block Group 1, Census Tract 1, Deschutes County, Oregon",740,53,687,57,0,12,68,38,246,44,190,45,117,48,66,28,53,34,0,12,0,12,22,16,24,29,7,10,0,12
1500000US410170002001,410170002001,"Block Group 1, Census Tract 2, Deschutes County, Oregon",682,150,537,155,16,25,77,81,159,92,202,109,29,37,54,38,145,79,0,12,54,45,72,56,19,24,0,12,0,12
1500000US410170002002,410170002002,"Block Group 2, Census Tract 2, Deschutes County, Oregon",440,108,310,110,3,5,59,44,239,115,0,12,9,10,0,12,130,49,46,31,28,19,45,31,0,12,0,12,11,19
1500000US410170002003,410170002003,"Block Group 3, Census Tract 2, Deschutes County, Oregon",426,90,219,64,3,5,74,38,69,33,50,40,8,16,15,23,207,70,10,13,96,51,70,39,27,28,4,8,0,12
1500000US410170002004,410170002004,"Block Group 4, Census Tract 2, Deschutes County, Oregon",379,150,279,136,0,12,16,25,158,106,52,46,0,12,53,86,100,86,35,55,20,28,45,73,0,12,0,12,0,12
1500000US410170003001,410170003001,"Block Group 1, Census Tract 3, Deschutes County, Oregon",1469,241,1050,196,0,12,246,148,306,80,321,144,177,103,0,12,419,182,0,12,56,73,243,144,66,93,0,12,54,75
1500000US410170003002,410170003002,"Block Group 2, Census Tract 3, Deschutes County, Oregon",954,194,624,171,0,12,170,86,207,92,107,56,72,80,68,68,330,134,9,15,154,104,105,65,62,53,0,12,0,12
1500000US410170003003,410170003003,"Block Group 3, Census Tract 3, Deschutes County, Oregon",460,145,377,133,0,12,0,12,136,68,241,127,0,12,0,12,83,89,0,12,17,26,53,83,13,22,0,12,0,12
1500000US410170003004,410170003004,"Block Group 4, Census Tract 3, Deschutes County, Oregon",740,205,642,187,32,37,179,123,199,100,116,91,116,95,0,12,98,88,0,12,55,67,22,35,21,32,0,12,0,12
1500000US410170004011,410170004011,"Block Group 1, Census Tract 4.01, Deschutes County, Oregon",1061,129,756,131,12,20,117,62,360,107,158,62,109,51,0,12,305,111,0,12,109,78,171,83,17,19,8,12,0,12
1500000US410170004012,410170004012,"Block Group 2, Census Tract 4.01, Deschutes County, Oregon",872,117,671,124,10,16,85,48,426,108,115,63,16,19,19,22,201,77,10,16,91,71,63,62,13,20,24,28,0,12
1500000US410170004021,410170004021,"Block Group 1, Census Tract 4.02, Deschutes County, Oregon",663,127,490,117,15,22,84,79,180,76,154,80,57,44,0,12,173,91,0,12,11,18,134,88,28,30,0,12,0,12
1500000US410170004022,410170004022,"Block Group 2, Census Tract 4.02, Deschutes County, Oregon",404,168,335,159,0,12,115,98,220,123,0,12,0,12,0,12,69,65,0,12,55,61,14,25,0,12,0,12,0,12
1500000US410170004023,410170004023,"Block Group 3, Census Tract 4.02, Deschutes County, Oregon",53,43,36,29,0,12,4,7,20,22,12,19,0,12,0,12,17,24,0,12,0,12,17,24,0,12,0,12,0,12
1500000US410170005001,410170005001,"Block Group 1, Census Tract 5, Deschutes County, Oregon",668,152,470,123,0,12,141,94,148,76,128,86,23,32,30,33,198,121,0,12,79,76,95,93,19,20,5,8,0,12
1500000US410170005002,410170005002,"Block Group 2, Census Tract 5, Deschutes County, Oregon",146,118,146,118,0,12,13,21,109,107,24,40,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US410170005003,410170005003,"Block Group 3, Census Tract 5, Deschutes County, Oregon",167,74,124,69,0,12,43,52,77,38,4,7,0,12,0,12,43,27,0,12,0,12,39,27,0,12,4,6,0,12
1500000US410170005004,410170005004,"Block Group 4, Census Tract 5, Deschutes County, Oregon",834,149,396,96,5,7,98,46,203,62,60,40,28,25,2,4,438,119,26,21,149,59,225,92,27,33,11,19,0,12
1500000US410170005005,410170005005,"Block Group 5, Census Tract 5, Deschutes County, Oregon",506,116,487,115,0,12,44,37,332,113,111,55,0,12,0,12,19,28,0,12,0,12,0,12,19,28,0,12,0,12
1500000US410170006001,410170006001,"Block Group 1, Census Tract 6, Deschutes County, Oregon",1411,194,1176,182,15,24,201,125,605,153,203,91,117,106,35,37,235,107,0,12,70,51,109,108,56,72,0,12,0,12
1500000US410170006002,410170006002,"Block Group 2, Census Tract 6, Deschutes County, Oregon",523,157,350,130,0,12,29,34,152,98,129,87,26,26,14,22,173,130,0,12,116,121,14,22,43,66,0,12,0,12
1500000US410170006003,410170006003,"Block Group 3, Census Tract 6, Deschutes County, Oregon",551,121,483,129,14,23,44,38,195,75,61,55,155,123,14,23,68,55,0,12,41,44,27,32,0,12,0,12,0,12
1500000US410170006004,410170006004,"Block Group 4, Census Tract 6, Deschutes County, Oregon",516,118,431,99,27,31,81,48,187,89,120,60,16,26,0,12,85,79,0,12,41,66,33,38,0,12,11,19,0,12
1500000US410170007001,410170007001,"Block Group 1, Census Tract 7, Deschutes County, Oregon",568,118,481,126,0,12,72,58,133,95,181,79,83,91,12,20,87,70,14,22,16,27,38,57,19,30,0,12,0,12
1500000US410170007002,410170007002,"Block Group 2, Census Tract 7, Deschutes County, Oregon",1325,166,812,176,0,12,233,137,342,115,215,127,10,18,12,22,513,162,46,71,195,120,141,88,106,95,0,12,25,46
1500000US410170007003,410170007003,"Block Group 3, Census Tract 7, Deschutes County, Oregon",370,91,333,88,0,12,43,41,91,60,97,59,86,51,16,26,37,45,0,12,0,12,37,45,0,12,0,12,0,12
1500000US410170007004,410170007004,"Block Group 4, Census Tract 7, Deschutes County, Oregon",686,144,580,162,0,12,132,105,212,115,202,100,12,19,22,35,106,92,0,12,27,32,79,88,0,12,0,12,0,12
