Id	Id2	Geography	Id3	Estimate; Total:	Estimate; Owner occupied:	Estimate; Owner occupied: - No vehicle available	Estimate; Owner occupied: - 1 vehicle available	Estimate; Owner occupied: - 2 vehicles available	Estimate; Owner occupied: - 3 vehicles available	Estimate; Owner occupied: - 4 vehicles available	Estimate; Owner occupied: - 5 or more vehicles available	Estimate; Renter occupied:	Estimate; Renter occupied: - No vehicle available	Estimate; Renter occupied: - 1 vehicle available	Estimate; Renter occupied: - 2 vehicles available	Estimate; Renter occupied: - 3 vehicles available	Estimate; Renter occupied: - 4 vehicles available	Estimate; Renter occupied: - 5 or more vehicles available	Total - No vehicle available
1500000US410170001001	410170001001	Block Group 1, Census Tract 1, Deschutes County, Oregon	01001	740	687	0	68	246	190	117	66	53	0	0	22	24	7	0	0
1500000US410170002001	410170002001	Block Group 1, Census Tract 2, Deschutes County, Oregon	02001	682	537	16	77	159	202	29	54	145	0	54	72	19	0	0	16
1500000US410170002002	410170002002	Block Group 2, Census Tract 2, Deschutes County, Oregon	02002	440	310	3	59	239	0	9	0	130	46	28	45	0	0	11	49
1500000US410170002003	410170002003	Block Group 3, Census Tract 2, Deschutes County, Oregon	02003	426	219	3	74	69	50	8	15	207	10	96	70	27	4	0	13
1500000US410170002004	410170002004	Block Group 4, Census Tract 2, Deschutes County, Oregon	02004	379	279	0	16	158	52	0	53	100	35	20	45	0	0	0	35
1500000US410170003001	410170003001	Block Group 1, Census Tract 3, Deschutes County, Oregon	03001	1469	1050	0	246	306	321	177	0	419	0	56	243	66	0	54	0
1500000US410170003002	410170003002	Block Group 2, Census Tract 3, Deschutes County, Oregon	03002	954	624	0	170	207	107	72	68	330	9	154	105	62	0	0	9
1500000US410170003003	410170003003	Block Group 3, Census Tract 3, Deschutes County, Oregon	03003	460	377	0	0	136	241	0	0	83	0	17	53	13	0	0	0
1500000US410170003004	410170003004	Block Group 4, Census Tract 3, Deschutes County, Oregon	03004	740	642	32	179	199	116	116	0	98	0	55	22	21	0	0	32
1500000US410170004011	410170004011	Block Group 1, Census Tract 4.01, Deschutes County, Oregon	04011	1061	756	12	117	360	158	109	0	305	0	109	171	17	8	0	12
1500000US410170004012	410170004012	Block Group 2, Census Tract 4.01, Deschutes County, Oregon	04012	872	671	10	85	426	115	16	19	201	10	91	63	13	24	0	20
1500000US410170004021	410170004021	Block Group 1, Census Tract 4.02, Deschutes County, Oregon	04021	663	490	15	84	180	154	57	0	173	0	11	134	28	0	0	15
1500000US410170004022	410170004022	Block Group 2, Census Tract 4.02, Deschutes County, Oregon	04022	404	335	0	115	220	0	0	0	69	0	55	14	0	0	0	0
1500000US410170004023	410170004023	Block Group 3, Census Tract 4.02, Deschutes County, Oregon	04023	53	36	0	4	20	12	0	0	17	0	0	17	0	0	0	0
1500000US410170005001	410170005001	Block Group 1, Census Tract 5, Deschutes County, Oregon	05001	668	470	0	141	148	128	23	30	198	0	79	95	19	5	0	0
1500000US410170005002	410170005002	Block Group 2, Census Tract 5, Deschutes County, Oregon	05002	146	146	0	13	109	24	0	0	0	0	0	0	0	0	0	0
1500000US410170005003	410170005003	Block Group 3, Census Tract 5, Deschutes County, Oregon	05003	167	124	0	43	77	4	0	0	43	0	0	39	0	4	0	0
1500000US410170005004	410170005004	Block Group 4, Census Tract 5, Deschutes County, Oregon	05004	834	396	5	98	203	60	28	2	438	26	149	225	27	11	0	31
1500000US410170005005	410170005005	Block Group 5, Census Tract 5, Deschutes County, Oregon	05005	506	487	0	44	332	111	0	0	19	0	0	0	19	0	0	0
1500000US410170006001	410170006001	Block Group 1, Census Tract 6, Deschutes County, Oregon	06001	1411	1176	15	201	605	203	117	35	235	0	70	109	56	0	0	15
1500000US410170006002	410170006002	Block Group 2, Census Tract 6, Deschutes County, Oregon	06002	523	350	0	29	152	129	26	14	173	0	116	14	43	0	0	0
1500000US410170006003	410170006003	Block Group 3, Census Tract 6, Deschutes County, Oregon	06003	551	483	14	44	195	61	155	14	68	0	41	27	0	0	0	14
1500000US410170006004	410170006004	Block Group 4, Census Tract 6, Deschutes County, Oregon	06004	516	431	27	81	187	120	16	0	85	0	41	33	0	11	0	27
1500000US410170007001	410170007001	Block Group 1, Census Tract 7, Deschutes County, Oregon	07001	568	481	0	72	133	181	83	12	87	14	16	38	19	0	0	14
1500000US410170007002	410170007002	Block Group 2, Census Tract 7, Deschutes County, Oregon	07002	1325	812	0	233	342	215	10	12	513	46	195	141	106	0	25	46
1500000US410170007003	410170007003	Block Group 3, Census Tract 7, Deschutes County, Oregon	07003	370	333	0	43	91	97	86	16	37	0	0	37	0	0	0	0
1500000US410170007004	410170007004	Block Group 4, Census Tract 7, Deschutes County, Oregon	07004	686	580	0	132	212	202	12	22	106	0	27	79	0	0	0	0
1500000US410170008001	410170008001	Block Group 1, Census Tract 8, Deschutes County, Oregon	08001	1550	1120	0	212	605	247	25	31	430	0	175	226	29	0	0	0
1500000US410170008002	410170008002	Block Group 2, Census Tract 8, Deschutes County, Oregon	08002	393	118	0	32	64	0	0	22	275	24	88	156	7	0	0	24
1500000US410170008003	410170008003	Block Group 3, Census Tract 8, Deschutes County, Oregon	08003	382	112	0	78	0	18	16	0	270	16	129	125	0	0	0	16
1500000US410170008004	410170008004	Block Group 4, Census Tract 8, Deschutes County, Oregon	08004	291	188	0	61	93	34	0	0	103	0	79	10	0	14	0	0
1500000US410170009001	410170009001	Block Group 1, Census Tract 9, Deschutes County, Oregon	09001	1075	280	0	130	75	60	15	0	795	164	333	227	57	14	0	164
1500000US410170009002	410170009002	Block Group 2, Census Tract 9, Deschutes County, Oregon	09002	649	222	0	39	80	57	46	0	427	81	249	97	0	0	0	81
1500000US410170009003	410170009003	Block Group 3, Census Tract 9, Deschutes County, Oregon	09003	510	190	0	24	129	37	0	0	320	35	114	113	58	0	0	35
1500000US410170009004	410170009004	Block Group 4, Census Tract 9, Deschutes County, Oregon	09004	758	268	0	72	90	54	37	15	490	88	264	138	0	0	0	88
1500000US410170010011	410170010011	Block Group 1, Census Tract 10.01, Deschutes County, Oregon	10011	895	815	20	116	535	144	0	0	80	29	0	51	0	0	0	49
1500000US410170010012	410170010012	Block Group 2, Census Tract 10.01, Deschutes County, Oregon	10012	1524	1002	28	154	573	157	90	0	522	53	145	324	0	0	0	81
1500000US410170010013	410170010013	Block Group 3, Census Tract 10.01, Deschutes County, Oregon	10013	482	392	0	25	218	74	32	43	90	0	0	90	0	0	0	0
1500000US410170010014	410170010014	Block Group 4, Census Tract 10.01, Deschutes County, Oregon	10014	1070	628	64	175	389	0	0	0	442	0	170	115	80	0	77	64
1500000US410170010015	410170010015	Block Group 5, Census Tract 10.01, Deschutes County, Oregon	10015	683	400	0	189	93	118	0	0	283	0	166	54	63	0	0	0
1500000US410170010021	410170010021	Block Group 1, Census Tract 10.02, Deschutes County, Oregon	10021	963	798	8	93	389	204	66	38	165	14	71	40	40	0	0	22
1500000US410170011001	410170011001	Block Group 1, Census Tract 11, Deschutes County, Oregon	11001	1273	1007	0	134	718	98	30	27	266	13	146	78	29	0	0	13
1500000US410170011002	410170011002	Block Group 2, Census Tract 11, Deschutes County, Oregon	11002	752	709	0	118	253	168	68	102	43	0	15	28	0	0	0	0
1500000US410170011003	410170011003	Block Group 3, Census Tract 11, Deschutes County, Oregon	11003	1921	1511	39	266	712	251	205	38	410	0	226	109	75	0	0	39
1500000US410170012001	410170012001	Block Group 1, Census Tract 12, Deschutes County, Oregon	12001	484	431	19	114	96	133	55	14	53	0	0	18	17	18	0	19
1500000US410170012002	410170012002	Block Group 2, Census Tract 12, Deschutes County, Oregon	12002	303	284	0	0	69	185	14	16	19	0	0	19	0	0	0	0
1500000US410170012003	410170012003	Block Group 3, Census Tract 12, Deschutes County, Oregon	12003	760	709	0	152	322	197	38	0	51	13	27	11	0	0	0	13
1500000US410170012004	410170012004	Block Group 4, Census Tract 12, Deschutes County, Oregon	12004	1205	773	0	72	261	291	105	44	432	0	156	187	0	89	0	0
1500000US410170013001	410170013001	Block Group 1, Census Tract 13, Deschutes County, Oregon	13001	1794	1092	0	307	511	152	122	0	702	79	293	198	132	0	0	79
1500000US410170013002	410170013002	Block Group 2, Census Tract 13, Deschutes County, Oregon	13002	1731	1431	26	220	940	245	0	0	300	0	139	98	47	16	0	26
1500000US410170013003	410170013003	Block Group 3, Census Tract 13, Deschutes County, Oregon	13003	581	344	0	95	177	72	0	0	237	86	87	64	0	0	0	86
1500000US410170013004	410170013004	Block Group 4, Census Tract 13, Deschutes County, Oregon	13004	519	161	0	75	0	86	0	0	358	0	219	80	0	59	0	0
1500000US410170013005	410170013005	Block Group 5, Census Tract 13, Deschutes County, Oregon	13005	282	183	0	98	41	44	0	0	99	0	99	0	0	0	0	0
1500000US410170014001	410170014001	Block Group 1, Census Tract 14, Deschutes County, Oregon	14001	1879	1245	0	264	603	246	132	0	634	0	267	305	62	0	0	0
1500000US410170014002	410170014002	Block Group 2, Census Tract 14, Deschutes County, Oregon	14002	317	253	0	93	103	43	14	0	64	8	27	29	0	0	0	8
1500000US410170014003	410170014003	Block Group 3, Census Tract 14, Deschutes County, Oregon	14003	188	79	14	14	51	0	0	0	109	6	38	46	17	2	0	20
1500000US410170015001	410170015001	Block Group 1, Census Tract 15, Deschutes County, Oregon	15001	279	47	0	0	47	0	0	0	232	0	70	145	17	0	0	0
1500000US410170015002	410170015002	Block Group 2, Census Tract 15, Deschutes County, Oregon	15002	536	215	22	44	106	43	0	0	321	106	58	157	0	0	0	128
1500000US410170015003	410170015003	Block Group 3, Census Tract 15, Deschutes County, Oregon	15003	532	172	0	57	32	40	43	0	360	0	112	175	50	23	0	0
1500000US410170015004	410170015004	Block Group 4, Census Tract 15, Deschutes County, Oregon	15004	384	84	0	23	14	47	0	0	300	21	194	55	0	17	13	21
1500000US410170015005	410170015005	Block Group 5, Census Tract 15, Deschutes County, Oregon	15005	843	347	0	177	109	61	0	0	496	0	258	200	38	0	0	0
1500000US410170016001	410170016001	Block Group 1, Census Tract 16, Deschutes County, Oregon	16001	411	53	0	40	13	0	0	0	358	95	184	26	53	0	0	95
1500000US410170016002	410170016002	Block Group 2, Census Tract 16, Deschutes County, Oregon	16002	788	317	0	68	211	22	16	0	471	104	224	91	52	0	0	104
1500000US410170016003	410170016003	Block Group 3, Census Tract 16, Deschutes County, Oregon	16003	1241	472	0	203	171	62	36	0	769	68	516	162	13	10	0	68
1500000US410170017001	410170017001	Block Group 1, Census Tract 17, Deschutes County, Oregon	17001	1237	573	0	173	370	19	11	0	664	130	188	204	86	56	0	130
1500000US410170017002	410170017002	Block Group 2, Census Tract 17, Deschutes County, Oregon	17002	939	434	0	107	219	73	35	0	505	87	315	88	15	0	0	87
1500000US410170017003	410170017003	Block Group 3, Census Tract 17, Deschutes County, Oregon	17003	322	224	11	46	109	28	30	0	98	0	0	85	0	13	0	11
1500000US410170017004	410170017004	Block Group 4, Census Tract 17, Deschutes County, Oregon	17004	802	469	16	76	188	189	0	0	333	0	104	120	59	50	0	16
1500000US410170018001	410170018001	Block Group 1, Census Tract 18, Deschutes County, Oregon	18001	840	422	0	256	141	25	0	0	418	44	209	165	0	0	0	44
1500000US410170018002	410170018002	Block Group 2, Census Tract 18, Deschutes County, Oregon	18002	952	711	16	91	294	272	38	0	241	0	83	78	70	10	0	16
1500000US410170018003	410170018003	Block Group 3, Census Tract 18, Deschutes County, Oregon	18003	1023	222	0	95	78	21	14	14	801	71	447	283	0	0	0	71
1500000US410170018004	410170018004	Block Group 4, Census Tract 18, Deschutes County, Oregon	18004	783	132	0	72	60	0	0	0	651	128	384	89	50	0	0	128
1500000US410170019011	410170019011	Block Group 1, Census Tract 19.01, Deschutes County, Oregon	19011	677	651	0	85	219	199	98	50	26	0	0	11	15	0	0	0
1500000US410170019021	410170019021	Block Group 1, Census Tract 19.02, Deschutes County, Oregon	19021	2182	979	48	269	377	152	74	59	1203	140	396	591	61	15	0	188
1500000US410170019022	410170019022	Block Group 2, Census Tract 19.02, Deschutes County, Oregon	19022	671	612	0	155	270	170	17	0	59	0	0	0	0	0	59	0
1500000US410170019023	410170019023	Block Group 3, Census Tract 19.02, Deschutes County, Oregon	19023	308	248	0	60	73	94	21	0	60	0	25	0	35	0	0	0
1500000US410170019024	410170019024	Block Group 4, Census Tract 19.02, Deschutes County, Oregon	19024	379	379	0	56	160	163	0	0	0	0	0	0	0	0	0	0
1500000US410170020001	410170020001	Block Group 1, Census Tract 20, Deschutes County, Oregon	20001	444	391	14	51	202	108	16	0	53	0	18	21	14	0	0	14
1500000US410170020002	410170020002	Block Group 2, Census Tract 20, Deschutes County, Oregon	20002	665	492	0	77	233	121	19	42	173	35	43	95	0	0	0	35
1500000US410170020003	410170020003	Block Group 3, Census Tract 20, Deschutes County, Oregon	20003	1091	692	0	191	292	198	11	0	399	62	161	126	13	37	0	62
1500000US410170020004	410170020004	Block Group 4, Census Tract 20, Deschutes County, Oregon	20004	555	349	0	158	139	52	0	0	206	2	18	160	26	0	0	2
1500000US410170021001	410170021001	Block Group 1, Census Tract 21, Deschutes County, Oregon	21001	1094	758	68	285	300	51	54	0	336	125	32	56	123	0	0	193
1500000US410170021002	410170021002	Block Group 2, Census Tract 21, Deschutes County, Oregon	21002	1147	516	0	147	277	37	38	17	631	53	202	296	39	0	41	53
1500000US410170021003	410170021003	Block Group 3, Census Tract 21, Deschutes County, Oregon	21003	1731	1417	0	387	569	438	23	0	314	0	100	161	35	18	0	0
1500000US410170021004	410170021004	Block Group 4, Census Tract 21, Deschutes County, Oregon	21004	653	514	0	156	161	158	39	0	139	0	0	139	0	0	0	0
