GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Aggregate number of vehicles available:,Margin of Error; Aggregate number of vehicles available:,Estimate; Aggregate number of vehicles available: - Owner occupied,Margin of Error; Aggregate number of vehicles available: - Owner occupied,Estimate; Aggregate number of vehicles available: - Renter occupied,Margin of Error; Aggregate number of vehicles available: - Renter occupied
1500000US410170001001,410170001001,"Block Group 1, Census Tract 1, Deschutes County, Oregon",2106,191,1962,200,144,98
1500000US410170002001,410170002001,"Block Group 1, Census Tract 2, Deschutes County, Oregon",1658,399,1403,410,255,142
1500000US410170002002,410170002002,"Block Group 2, Census Tract 2, Deschutes County, Oregon",757,216,573,223,184,128
1500000US410170002003,410170002003,"Block Group 3, Census Tract 2, Deschutes County, Oregon",817,225,484,198,333,128
1500000US410170003001,410170003001,"Block Group 1, Census Tract 3, Deschutes County, Oregon",3539,642,2529,579,1010,508
1500000US410170003002,410170003002,"Block Group 2, Census Tract 3, Deschutes County, Oregon",2129,569,1579,549,550,232
1500000US410170003003,410170003003,"Block Group 3, Census Tract 3, Deschutes County, Oregon",1157,386,995,380,162,181
1500000US410170003004,410170003004,"Block Group 4, Census Tract 3, Deschutes County, Oregon",1551,505,1389,492,162,145
1500000US410170004011,410170004011,"Block Group 1, Census Tract 4.01, Deschutes County, Oregon",2281,309,1747,308,534,167
1500000US410170004012,410170004012,"Block Group 2, Census Tract 4.01, Deschutes County, Oregon",1805,277,1453,288,352,154
1500000US410170004021,410170004021,"Block Group 1, Census Tract 4.02, Deschutes County, Oregon",1497,258,1134,259,363,188
1500000US410170004022,410170004022,"Block Group 2, Census Tract 4.02, Deschutes County, Oregon",638,273,555,267,83,78
1500000US410170005001,410170005001,"Block Group 1, Census Tract 5, Deschutes County, Oregon",1409,320,1063,279,346,206
1500000US410170005002,410170005002,"Block Group 2, Census Tract 5, Deschutes County, Oregon",303,252,303,252,,
1500000US410170005003,410170005003,"Block Group 3, Census Tract 5, Deschutes County, Oregon",303,112,209,98,94,57
1500000US410170005004,410170005004,"Block Group 4, Census Tract 5, Deschutes County, Oregon",1530,304,806,220,724,236
1500000US410170006001,410170006001,"Block Group 1, Census Tract 6, Deschutes County, Oregon",3119,455,2663,444,456,232
1500000US410170006002,410170006002,"Block Group 2, Census Tract 6, Deschutes County, Oregon",1181,360,908,346,273,219
1500000US410170006003,410170006003,"Block Group 3, Census Tract 6, Deschutes County, Oregon",1416,482,1321,496,95,79
1500000US410170006004,410170006004,"Block Group 4, Census Tract 6, Deschutes County, Oregon",1030,235,879,212,151,124
1500000US410170007001,410170007001,"Block Group 1, Census Tract 7, Deschutes County, Oregon",1434,387,1285,397,149,152
1500000US410170007002,410170007002,"Block Group 2, Census Tract 7, Deschutes County, Oregon",2582,524,1662,406,920,408
1500000US410170007004,410170007004,"Block Group 4, Census Tract 7, Deschutes County, Oregon",1505,332,1320,355,185,177
1500000US410170008001,410170008001,"Block Group 1, Census Tract 8, Deschutes County, Oregon",3132,420,2418,403,714,242
1500000US410170008002,410170008002,"Block Group 2, Census Tract 8, Deschutes County, Oregon",713,257,292,221,421,218
1500000US410170008003,410170008003,"Block Group 3, Census Tract 8, Deschutes County, Oregon",575,212,196,139,379,178
1500000US410170008004,410170008004,"Block Group 4, Census Tract 8, Deschutes County, Oregon",504,179,349,166,155,116
1500000US410170009001,410170009001,"Block Group 1, Census Tract 9, Deschutes County, Oregon",1534,306,520,179,1014,293
