Id,Id2,Geography,Estimate; Total:,Estimate; 18 to 34 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Estimate; 18 to 34 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Estimate; 18 to 34 years: - No health insurance coverage,Estimate; 35 to 64 years: - With one type of health insurance coverage: - With Medicaid/means-tested public coverage only,Estimate; 35 to 64 years: - With two or more types of health insurance coverage: - With Medicare and Medicaid/means-tested public coverage,Estimate; 35 to 64 years: - No health insurance coverage,Estimate; 65 years and over: - With two or more types of health insurance coverage - With Medicare and Medicaid/means-tested public coverage,Estimate; 65 years and over: - No health insurance coverage,18+_MeansTestedInsurance,18+_NoInsurance,18+_MeansandNoInsurance
1500000US410170001001,4.1017E+11,"Block Group 1, Census Tract 1, Deschutes County, Oregon",1886,0,0,47,12,0,111,2,0,14,158,172
1500000US410170002001,4.1017E+11,"Block Group 1, Census Tract 2, Deschutes County, Oregon",1563,64,0,155,20,0,83,25,0,109,238,347
1500000US410170002002,4.1017E+11,"Block Group 2, Census Tract 2, Deschutes County, Oregon",875,11,0,47,47,48,177,25,8,131,232,363
1500000US410170002003,4.1017E+11,"Block Group 3, Census Tract 2, Deschutes County, Oregon",966,41,0,40,82,7,143,15,0,145,183,328
1500000US410170002004,4.1017E+11,"Block Group 4, Census Tract 2, Deschutes County, Oregon",742,35,0,19,0,0,122,46,0,81,141,222
1500000US410170003001,4.1017E+11,"Block Group 1, Census Tract 3, Deschutes County, Oregon",3674,189,0,156,75,0,354,19,0,283,510,793
1500000US410170003002,4.1017E+11,"Block Group 2, Census Tract 3, Deschutes County, Oregon",2533,118,0,119,169,38,250,28,0,353,369,722
1500000US410170003003,4.1017E+11,"Block Group 3, Census Tract 3, Deschutes County, Oregon",961,0,0,0,0,0,107,0,0,0,107,107
1500000US410170003004,4.1017E+11,"Block Group 4, Census Tract 3, Deschutes County, Oregon",1668,98,38,0,96,0,266,61,0,293,266,559
1500000US410170004011,4.1017E+11,"Block Group 1, Census Tract 4.01, Deschutes County, Oregon",2790,47,0,136,155,18,387,0,14,220,537,757
1500000US410170004012,4.1017E+11,"Block Group 2, Census Tract 4.01, Deschutes County, Oregon",2395,79,0,152,32,0,230,10,0,121,382,503
1500000US410170004021,4.1017E+11,"Block Group 1, Census Tract 4.02, Deschutes County, Oregon",1640,0,0,37,109,11,164,0,0,120,201,321
1500000US410170004022,4.1017E+11,"Block Group 2, Census Tract 4.02, Deschutes County, Oregon",738,0,0,0,53,13,0,0,0,66,0,66
1500000US410170004023,4.1017E+11,"Block Group 3, Census Tract 4.02, Deschutes County, Oregon",110,0,0,35,0,0,0,0,0,0,35,35
1500000US410170005001,4.1017E+11,"Block Group 1, Census Tract 5, Deschutes County, Oregon",1752,65,0,84,13,17,173,11,0,106,257,363
1500000US410170005002,4.1017E+11,"Block Group 2, Census Tract 5, Deschutes County, Oregon",260,0,0,0,0,0,0,0,0,0,0,0
1500000US410170005003,4.1017E+11,"Block Group 3, Census Tract 5, Deschutes County, Oregon",311,0,0,0,10,0,28,0,0,10,28,38
1500000US410170005004,4.1017E+11,"Block Group 4, Census Tract 5, Deschutes County, Oregon",2280,78,4,159,46,0,199,10,0,138,358,496
1500000US410170005005,4.1017E+11,"Block Group 5, Census Tract 5, Deschutes County, Oregon",1237,89,0,12,0,0,34,0,0,89,46,135
1500000US410170006001,4.1017E+11,"Block Group 1, Census Tract 6, Deschutes County, Oregon",3304,0,0,58,118,0,205,21,0,139,263,402
1500000US410170006002,4.1017E+11,"Block Group 2, Census Tract 6, Deschutes County, Oregon",1113,0,0,0,23,0,161,0,0,23,161,184
1500000US410170006003,4.1017E+11,"Block Group 3, Census Tract 6, Deschutes County, Oregon",1152,75,0,0,138,14,57,35,0,262,57,319
1500000US410170006004,4.1017E+11,"Block Group 4, Census Tract 6, Deschutes County, Oregon",1118,0,0,52,61,0,95,12,0,73,147,220
1500000US410170007001,4.1017E+11,"Block Group 1, Census Tract 7, Deschutes County, Oregon",1534,0,0,16,78,0,83,0,0,78,99,177
1500000US410170007002,4.1017E+11,"Block Group 2, Census Tract 7, Deschutes County, Oregon",3714,75,0,201,46,0,200,19,0,140,401,541
1500000US410170007003,4.1017E+11,"Block Group 3, Census Tract 7, Deschutes County, Oregon",1059,0,18,34,24,0,47,18,0,60,81,141
1500000US410170007004,4.1017E+11,"Block Group 4, Census Tract 7, Deschutes County, Oregon",1647,113,0,55,15,0,195,16,0,144,250,394
1500000US410170008001,4.1017E+11,"Block Group 1, Census Tract 8, Deschutes County, Oregon",4665,288,0,95,80,0,426,33,0,401,521,922
1500000US410170008002,4.1017E+11,"Block Group 2, Census Tract 8, Deschutes County, Oregon",687,46,14,0,46,13,36,14,0,133,36,169
1500000US410170008003,4.1017E+11,"Block Group 3, Census Tract 8, Deschutes County, Oregon",813,19,0,21,28,18,205,16,0,81,226,307
1500000US410170008004,4.1017E+11,"Block Group 4, Census Tract 8, Deschutes County, Oregon",719,87,0,19,32,0,38,0,0,119,57,176
1500000US410170009001,4.1017E+11,"Block Group 1, Census Tract 9, Deschutes County, Oregon",2594,258,55,213,179,203,249,24,0,719,462,1181
1500000US410170009002,4.1017E+11,"Block Group 2, Census Tract 9, Deschutes County, Oregon",1607,68,0,93,10,11,86,0,0,89,179,268
1500000US410170009003,4.1017E+11,"Block Group 3, Census Tract 9, Deschutes County, Oregon",1443,168,0,120,162,10,27,12,0,352,147,499
1500000US410170009004,4.1017E+11,"Block Group 4, Census Tract 9, Deschutes County, Oregon",1775,104,0,185,42,12,77,67,0,225,262,487
1500000US410170010011,4.1017E+11,"Block Group 1, Census Tract 10.01, Deschutes County, Oregon",2248,22,0,66,0,0,35,25,0,47,101,148
1500000US410170010012,4.1017E+11,"Block Group 2, Census Tract 10.01, Deschutes County, Oregon",4753,242,0,103,397,0,194,35,0,674,297,971
1500000US410170010013,4.1017E+11,"Block Group 3, Census Tract 10.01, Deschutes County, Oregon",1842,0,0,0,0,0,124,0,0,0,124,124
1500000US410170010014,4.1017E+11,"Block Group 4, Census Tract 10.01, Deschutes County, Oregon",2832,275,0,179,96,0,623,0,0,371,802,1173
1500000US410170010015,4.1017E+11,"Block Group 5, Census Tract 10.01, Deschutes County, Oregon",2000,96,0,109,49,27,50,0,0,172,159,331
1500000US410170010021,4.1017E+11,"Block Group 1, Census Tract 10.02, Deschutes County, Oregon",2723,41,0,58,122,7,179,28,0,198,237,435
1500000US410170011001,4.1017E+11,"Block Group 1, Census Tract 11, Deschutes County, Oregon",3028,17,0,0,55,0,191,0,0,72,191,263
1500000US410170011002,4.1017E+11,"Block Group 2, Census Tract 11, Deschutes County, Oregon",2149,18,0,0,27,0,50,12,0,57,50,107
1500000US410170011003,4.1017E+11,"Block Group 3, Census Tract 11, Deschutes County, Oregon",4966,121,0,99,25,0,231,22,0,168,330,498
1500000US410170012001,4.1017E+11,"Block Group 1, Census Tract 12, Deschutes County, Oregon",1355,21,0,0,122,29,123,58,0,230,123,353
1500000US410170012002,4.1017E+11,"Block Group 2, Census Tract 12, Deschutes County, Oregon",819,18,0,31,0,0,0,0,0,18,31,49
1500000US410170012003,4.1017E+11,"Block Group 3, Census Tract 12, Deschutes County, Oregon",1675,0,0,39,23,0,91,0,0,23,130,153
1500000US410170012004,4.1017E+11,"Block Group 4, Census Tract 12, Deschutes County, Oregon",3074,81,0,179,83,0,203,0,0,164,382,546
1500000US410170013001,4.1017E+11,"Block Group 1, Census Tract 13, Deschutes County, Oregon",4450,24,0,285,0,0,291,0,0,24,576,600
1500000US410170013002,4.1017E+11,"Block Group 2, Census Tract 13, Deschutes County, Oregon",4585,49,0,0,29,0,32,3,0,81,32,113
1500000US410170013003,4.1017E+11,"Block Group 3, Census Tract 13, Deschutes County, Oregon",1243,42,0,101,86,0,0,0,0,128,101,229
1500000US410170013004,4.1017E+11,"Block Group 4, Census Tract 13, Deschutes County, Oregon",1206,0,0,368,0,0,217,0,0,0,585,585
1500000US410170013005,4.1017E+11,"Block Group 5, Census Tract 13, Deschutes County, Oregon",617,0,0,157,0,0,150,0,0,0,307,307
1500000US410170014001,4.1017E+11,"Block Group 1, Census Tract 14, Deschutes County, Oregon",4689,130,0,175,50,0,244,16,0,196,419,615
1500000US410170014002,4.1017E+11,"Block Group 2, Census Tract 14, Deschutes County, Oregon",734,0,0,87,8,0,45,0,0,8,132,140
1500000US410170014003,4.1017E+11,"Block Group 3, Census Tract 14, Deschutes County, Oregon",362,0,0,0,0,0,26,0,0,0,26,26
